"","study_id","author","title","pub_year","journal","citation","pub_type","design_other","country","region","setting","program","objective","iecriteria","intervention","comparator","study_comments","studyn","effect","kp_msm","kp_pwid","kp_pregwomen","kp_tb","kp_infants","kp_children","kp_orphans","kp_street","kp_adolescents","kp_csw","kp_disabled","kp_prisoners","kp_migrants","kp_comments","sufa_id","study_complete","exclude","exclude_reason","pmtct","study_design_number","study_design","proc_id","initials","cas_testing","cas_linkage","cas_staging","cas_initiation","cas_retonelig","cas_retonart","cas_adherence","cas_comments","behav_target","behav_mediator","behav_target_desc","imp_target","imp_target_c","imp_target_o","imp_target_m","imp_target_comment","imp_action","imp_action_desc","imp_actor","imp_dose","imp_temporality","imp_measure","imp_meas_feasible","imp_meas_accept","imp_meas_adopt","imp_meas_fidelity","imp_meas_cost","imp_meas_sustain","imp_meas_comment","imp_outcome","imp_outcome_c","imp_outcome_o","imp_outcome_m","imp_outcome_b","imp_outcome_comment","intervention_name","interv_name_text","proc_complete","behav_level_number","behav_level","intervention_type_number","intervention_type"
"11",356,"Bock","Provision of antiretroviral therapy to children within the public sector of South Africa",2008,"Trans R Soc Trop Med Hyg","Bock P, Boulle A, White C, Osler M, Eley B. Provision of antiretroviral therapy to children within the public sector of South Africa. Transactions of the Royal Society of Tropical Medicine and Hygiene 2008;102(9):905–11.","journal",NA,"South Africa",NA,"Urban, peri-urban, 20 health centres (enhanced), 16 hospitals, 3 advanced hospitals",NA,"To compare clinical outcomes of children treated for HIV infection at primary healthcare clinics, district hospitals, and secondary and tertiary hospital","All children <15 years starting ART.  Eligibility for ART (modified WHO stage 2, 3 disease, or low CD4% by age group - <20% if <18 months old, or <15% if >18 months old, or recurrent hospitalisation >4 weeks, and identifiable caregiver)","Intervention 1 (Primary health care clinics): ART initiated at advanced hospital, maintained at enhanced health centres, by doctors; Intervention 2 (Level 1 district hospitals): ART initiated at advanced hospital, maintained at hospital, by doctors","Control (level 2 and 3 facilities): ART initiated and maintained at advanced hospital, by doctors and specialists",NA,1741,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,58,FALSE,FALSE,NA,FALSE,4,"Retrospective cohort",59,1,0,0,0,0,0,1,0,NA,0,1,"Similar to other decentralization interventions, the level of the behavioral target is the health center.  By delivering HIV care in smaller facilities, systems aim to improve retention, however the actual intended behavior is not specified.",0,0,0,0,"Though intervention targets could be imagined, none are mentioned.",0,"Not a clear action",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,1,"decentralization",TRUE,4,"Organizations","19","Decentralization"
"12",357,"Brennan","Outcomes of stable HIV-positive patients down-referred from a doctor-managed antiretroviral therapy clinic to a nurse-managed primary health clinic for monitoring and treatment",2011,"AIDS","Brennan AT, Long L, Maskew M, et al. Outcomes of stable HIV-positive patients down-referred from a doctor-managed antiretroviral therapy clinic to a nurse-managed primary health clinic for monitoring and treatment. AIDS 2011; 25: 2027–36.","journal",NA,"South Africa",NA,"urban clinic","clinic","To compare clinical, immunologic and virologic outcomes among stable HIV-positive patients down-referred to a nurse-managed primary healthcare clinic (PHC) for treatment maintenance to those who remained at a doctor-managed treatment-initiation site.","patients who met criteria for down-referral (undetectable viral load <10 months, antiretroviral therapy (ART) >11 months, CD4 cell count 200 cells/ml, stable weight and no opportunistic infections)","down-referral from doctor-managed treatment site to local nurse-managed primary care clinic","not down-referred",NA,2772,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,2,FALSE,FALSE,NA,FALSE,4,"Retrospective cohort",60,1,0,0,0,0,0,1,0,NA,1,0,"attend clinic appointments - though this is not clearly defined (because loss to follow-up is included as the converse of this behavior.",1,0,1,1,"decreased waiting time, decreased travel time, increased patient satisfaction",1,"down-referral - specific eligibility criteria and process for down-referral (provider reminder and electronic transfer of patient data)",1,1,1,1,0,0,1,0,1,0,"Proportion of eligible patients who were actually down-referred was reported.  A citation to a separate paper using the same cohort also discusses cost-effectiveness of down-referral.",NA,0,0,0,NA,"Data presented in discussion suggesting that wait time is reduced at decentralized sites, but no primary data presented",1,"down-referral",TRUE,2,"Individuals - patients","10;16;19;34;35",NA
"13",358,"Brentlinger","Task shifting in Mozambique: cross-sectional evaluation of non-physician clinicians’ performance in HIV/AIDS care",2010,"Hum Resour Health","Brentlinger P, Assan A, Mudender F, et al. Task shifting in Mozambique: cross-sectional evaluation of non-physician clinicians’ performance in HIV/AIDS care. Hum Resour Health 2010; 8: 23.","journal",NA,"Mozambique",NA,"public-sector health facilities in which the TM participants normally practiced","clinic","To evaluate the quality of care delivered by non-physician clinicians after a two-week in-service training course emphasizing antiretroviral therapy (ART).","Non-physician clinicians working in public sector clinics to deliver HIV care","two-week training on ART, co-trimoxazole prophylaxis, and lesser emphasis on clinical staging and Ois","n/a",NA,127,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,3,FALSE,TRUE,"No cascade step",FALSE,2,"Cross-sectional",63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"14",359,"Burtle","Introduction and evaluation of a 'pre-ART care' service in Swaziland: an operational research study.",2012,"BMJ Open","Burtle D, Welfare W, Elden S, Mamvura C, Vandelanotte J, Petherick E, et al. Introduction and evaluation of a 'pre-ART care' service in Swaziland: an operational research study. BMJ Open. 2012; 2(2): e000195.","journal",NA,"Swaziland",NA,"Lubombo region, rural","Good Shepherd Hospital - a district referral hospital","To implement and evaluate a formal pre-antiretroviral therapy (ART) care service at a district hospital in Swaziland.","did not include data from new testers, those who were pregnant or were known to be co-infected with TB.","Introduction of pre-ART careda package of interventions, including counselling; regular review; clinical staging; timely initiation of ART; social and","Baseline care: HIV care prior to commencing ART was episodic",NA,1171,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,4,FALSE,TRUE,"no comparator",FALSE,1,"Before-and-after",62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"15",360,"Cantrell","A Pilot Study of Food Supplementation to Improve Adherence to Antiretroviral Therapy Among Food-Insecure Adults in Lusaka, Zambia",2008,"JAIDS",NA,"journal",NA,"Zambia",NA,"Lusaka, urban","CIDRZ","To evaluate the effect of food supplementation on adherence to antiretroviral therapy among food insecure adults initiating ART in Lusaka, Zambia.","Food insecure adults participating in a home based adherence program","Food ration","Standard of care",NA,636,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,"None",5,FALSE,FALSE,NA,FALSE,10,"Other",64,1,0,0,0,0,0,1,1,"Medication Possession Ratio - more retention than adherence in my opinion.",1,0,"Return to clinic for pharmacy refill",1,1,0,1,"Increased energy/health to attend clinic.  Increased motivation to collect food supplement to support individual and family nutrition.",1,"Action changed during intervention period - initially quantity of food given determined by primary earner status, later determined by household size.  However, both proceses are explained, including the manner in which eligiblity is assessed and food is d",1,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,1,"Food supplementation",TRUE,2,"Individuals - patients","6;8",NA
"16",361,"Chan","Outcome assessment of decentralization of antiretroviral therapy provision in a rural district of Malawi using an integrated primary care model",2010,"Tropical Medicine & International Health","Chan AK, Mateyu G, Jahn A, Schouten E, Arora P, Mlotha W, et al. Outcome assessment of decentralization of antiretroviral therapy provision in a rural district of Malawi using an integrated primary care model. Tropical medicine & international health : TM","journal",NA,"Malawi",NA,"Rural 16 health centers and 1 hospital",NA,"To assess the effect of decentralization (DC) of antiretroviral therapy (ART) provision in a rural district of Malawi using an integrated primary care model.","Adults and older children initiating ART.","Receiving follow-up at decentralized site or initiating ART at decentralized site. Prior to Apr 2008, all patients initiated ART at central site and were decentralized for ART follow-up from the mother clinic (ZCH) to a health centre if they met several c","Initiating ART and receiving follow-up at central site","only 1005/3440 patients included as ""decentralized"" actually initiated ART at decentralized site.  Remainder initiated at hospital and transferred because they were stable.",8093,NA,0,0,0,0,NA,1,0,0,0,0,0,0,0,NA,59,FALSE,FALSE,NA,FALSE,4,"Retrospective cohort",65,1,0,0,0,0,0,1,NA,"Retention in clinic",1,1,"Target behavior is retention in care (different set of behaviors than the measured outcome of retention in clinic)",1,0,1,0,NA,0,"Authors describe a model for decentralized primary care, however the action of 'decentralization' is not actuallly defined.",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,NA,1,"decentralization",TRUE,4,"Organizations","19","Decentralization"
"17",362,"Chandisarewa","Routine offer of antenatal HIV testing (‘‘opt-out’’ approach) to prevent mother-to-child transmission of HIV in urban Zimbabwe.",2007,"BWHO",NA,"journal",NA,"Zimbabwe",NA,NA,NA,"Effect of opt out on HIV testing in pregnant women",NA,NA,NA,NA,4551,NA,0,0,1,0,NA,0,0,0,0,0,0,0,0,NA,77,FALSE,FALSE,NA,TRUE,5,"Prospective cohort",66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"18",363,"Chang","Effect of peer health workers on AIDS care in Rakai, Uganda: a cluster-randomized trial.",2010,"PLOS ONE","Chang LW, Kagaayi J, Nakigozi G, Ssempijja V, Packer AH, Serwadda D, et al. Effect of peer health workers on AIDS care in Rakai, Uganda: a cluster-randomized trial. PLoS One. 2010; 5(6): e10923.","journal",NA,"Uganda",NA,"Rakai district in southwestern Uganda","PEPFAR - Rakai Health Sciences Program (RHSP)","Our primary hypothesis was that, compared to patients in control communities, patients on ART in communities with PHWs will have improved adherence and fewer virologic failures.","all adult patients at the 15 mobile clinic sites who were either already on ART at the start of the trial or were started on ART at any time during the trial.","peer health workers","usual standard of care","15 clusters",1336,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,6,FALSE,FALSE,NA,FALSE,8,"Cluster RCT",67,1,0,0,0,0,0,0,1,NA,1,0,"daily pill-taking",0,0,0,0,NA,1,"Peer health worker community-based adherence counseling, pill counts, review of symptoms and clinic referralss.",1,1,0,1,1,1,1,1,0,0,"Feasibility based on pilot data reported separately.  Reporting on the proportion of eligible patients appraoched, acceptance rate of the intervention, mean number of visits per patient and mean number of visits per health worker.",0,0,0,0,NA,NA,1,"peer health worker",TRUE,2,"Individuals - patients","1;16;25;29",NA
"19",364,"Chi","Expanded services for the prevention of mother-to-child HIV transmission: field acceptability of a pilot program in Lusaka, Zambia",2007,"JAIDS","Chi BH, Chintu N, Lee A, Stringer EM, Sinkala M & Stringer AJS (2007) Expanded services for the prevention of mother-to-child HIV transmission: field acceptability of a pilot program in Lusaka, Zambia. Journal of Acquired Immune Deficiency Syndromes 45, 1","journal",NA,"Zambia",NA,"Large government primary care clinic (urban)","Kamaya Health Center","To evaluate a pilot program designed to link PMTCT services to long-term HIV care and treatment in Lusaka, Zambia.","All women newly diagnosed with HIV in ANC","Linkage procedures: scripted talk on benefits of long-term HIV care and importance of CD4 screening, encouragement to enroll in HIV care, escort by CHW to on-site HIV facility for enrollment","None",NA,680,NA,0,0,1,0,NA,0,0,0,0,0,0,0,0,NA,7,FALSE,FALSE,NA,TRUE,4,"Retrospective cohort",68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"20",365,"Choun","Timing of antiretroviral therapy in Cambodian hospital after diagnosis of tuberculosis: impact of revised WHO guidelines",2012,"BWHO","Bull World Health Organ 2013;91:195–206; doi:10.2471/BLT.12.111153","journal",NA,"Cambodia",NA,"Rural and urban, NGO hospital","Sihanouk Hospital Centre of Hope","The main objective of this study was to assess the change in time to ART initiation following the implementation of the 2010 WHO ART guidelines in a programmatic setting in a resource-limited area.","We included in the study all ART-naïve HIV-positive adults who initiated antituberculosis treatment as inpatients or outpatients over the 18 months that preceded and the 18 months that followed the implementation of the 2010 WHO guidelines in June 2010","Guideline change; Communication Weekly medical department meeting (TB and HIV physicians) Monthly multidisciplinary meeting of key HIV and TB care staff to discuss logistical, managerial, operational issues",NA,NA,452,NA,0,0,0,1,NA,0,0,0,0,0,0,0,0,NA,8,FALSE,FALSE,NA,FALSE,1,"Before-and-after",69,1,0,0,0,1,1,1,0,NA,1,1,"Target behavior is analyzed at the level of the health center.  The behavior of interest is compliance of the guideline to initiate ART within 8 weeks of TB treatment initiation.  Retention pre/post initiation is also evaluated, but as a secondary outcome",0,0,1,0,"Though not specified in these terms, the implication of guideline implementation in this paper is that the external environment is altered at the health center level, allowing providers/clinics to initiate patients on ART earlier.",1,"Implementation of WHO guidelines.  Box 2 in manuscript dedicated to discussing 'dose', that is the activities and their frequency/intensity that were carried out to ensure effective guideline implementation.",1,1,1,1,0,0,1,0,0,0,"Primary focus of the study is adoption of the guidelines.",0,0,0,0,1,"Study was not able to measure the reasons for failure to initiate ART within the 8-week window - patient refusal would lead to different conclusions than provider attitudes about safety of guidelines, problems with toxicity or other reasons.",1,"Guideline for HIV/TB co-treatment",TRUE,4,"Organizations","10;13;14",NA
"21",366,"Christie","Paediatric and perinatal HIV/AIDS in Jamaica an international leadership initiative, 2002–2007",2008,"West Indian Med J","Christie CD, Steel-Duncan J, Palmer P, Pierre R, Harvey K, Johnson N et al. Paediatric and perinatal HIV/AIDS in Jamaica an international leadership initiative, 2002–2007. West Indian Med J 2008;57:204–15. PMID:19583118","journal",NA,"Jamacia",NA,"3 cities",NA,"to address the paediatric and perinatal HIV/AIDS epidemic in Jamacia","All women starting ANC in 3 included cities","Leadership and collaborative education initiative among academic and government healthcare personel","none","very descriptive, only included in matrix because some specific info is provided about broad leadership/training initiative for health care providers to tackle issue of PMTCT",69793,NA,0,0,1,0,NA,1,0,0,0,0,0,0,0,NA,54,FALSE,FALSE,NA,TRUE,4,"Retrospective cohort",70,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"22",367,"Chung","Chung MH, Richardson BA, Tapia K, et al. A randomized controlled trial comparing the eff ects of counseling and alarm device on HAART adherence and virologic outcomes. PLoS Med 2011; 8: e1000422.",2011,"PLoS Med","Chung MH, Richardson BA, Tapia K, et al. A randomized controlled trial comparing the eff ects of counseling and alarm device on HAART adherence and virologic outcomes. PLoS Med 2011; 8: e1000422.","journal",NA,"Kenya",NA,"urban hospital (Coptic, Nairobi)","clinic","To evaluate the effect of adherence counseling and/or electronic pill reminder on treatment success","HIV-infected adults (>=18) who were initiating ART, antiretroviral naive, agreed to home visits, and planned to live in Kenya for at least 2 y.","Adherence counseling - 2 sessions prior to ART initiation and 1 session one month post-initiation (arm 1), electronic pill reminder (arm 2), both counseling and reminder (arm 3)","neither counseling nor reminder (arm 4)",NA,310,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,9,FALSE,FALSE,NA,FALSE,7,"Individual RCT",71,1,0,0,0,0,0,0,1,"monthly pill count.  Initiation and retention on ART reported in Figure 1, but not formally tested.",1,0,"daily pill-taking behavior",1,1,0,1,"Counseling focused on patient knowledge/skills and motivation to adhere.  Reminder device acts as augmentation of patient skills/motivation.",1,"Counseling - 2 pre-initiation sessions & 1 post-initiation session, followed script.  Delivered by ""trained counselors"" - training or experience not specified.",0,1,1,1,0,0,1,0,0,0,"Proportion of participants undergoing 1, 2 and 3 counseling sessions is reported.  Self-reported length of alarm use and reasons for non-use reported.",0,0,0,0,NA,NA,1,"counseling and alarm device",TRUE,2,"Individuals - patients","1;2;34;35",NA
